SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
0.063,-0.020,-0.008
0.043,-0.016,-0.011
0.023,-0.010,-0.013
0.002,-0.001,-0.013
-0.014,0.006,-0.010
-0.029,0.014,-0.005
-0.045,0.026,-0.002
-0.066,0.044,0.000
-0.087,0.061,0.004
-0.098,0.062,0.009
-0.094,0.043,0.012
-0.083,0.013,0.010
-0.074,-0.014,0.005
-0.069,-0.031,0.002
-0.059,-0.040,0.004
-0.037,-0.047,0.009
-0.006,-0.053,0.012
0.020,-0.050,0.012
0.038,-0.032,0.009
0.050,0.000,0.005
0.063,0.034,-0.002
0.078,0.055,-0.012
0.089,0.058,-0.020
0.088,0.049,-0.020
0.074,0.039,-0.013
0.054,0.030,-0.007
0.030,0.017,-0.007
0.005,-0.004,-0.011
-0.020,-0.028,-0.012
-0.044,-0.041,-0.005
-0.066,-0.041,0.005
-0.084,-0.035,0.016
-0.094,-0.035,0.023
-0.089,-0.039,0.025
-0.069,-0.035,0.025
-0.040,-0.019,0.024
-0.012,0.004,0.019
0.011,0.023,0.012
0.032,0.035,0.004
0.056,0.040,-0.004
0.080,0.040,-0.014
0.098,0.030,-0.027
0.102,0.013,-0.040
0.088,-0.002,-0.043
0.059,-0.006,-0.033
0.023,-0.001,-0.018
-0.008,0.000,-0.006
-0.025,-0.010,-0.002
-0.028,-0.023,0.001
-0.024,-0.030,0.011
-0.024,-0.029,0.026
-0.034,-0.030,0.039
-0.050,-0.037,0.040
-0.063,-0.047,0.034
-0.068,-0.050,0.025
-0.067,-0.046,0.019
-0.064,-0.036,0.013
-0.055,-0.019,0.007
-0.034,0.010,0.000
0.000,0.051,-0.004
0.039,0.089,-0.006
0.073,0.105,-0.004
0.095,0.096,0.000
0.104,0.070,0.002
0.102,0.039,0.001
0.091,0.012,-0.006
0.073,-0.004,-0.017
0.049,-0.009,-0.025
0.023,-0.002,-0.024
0.000,0.004,-0.018
-0.023,-0.003,-0.010
-0.048,-0.031,-0.004
-0.075,-0.069,0.001
-0.102,-0.098,0.005
-0.124,-0.105,0.004
-0.135,-0.088,-0.002
-0.132,-0.055,-0.006
-0.114,-0.017,0.000
